order_id,payment_id,customer_id,amount,status,created_at,product_category
ord_001,pay_001,cust_001,24500.00,completed,2024-01-01 07:00:00,apparel
ord_002,pay_002,cust_002,31200.00,completed,2024-01-02 18:00:00,apparel
ord_003,pay_003,cust_003,125000.00,completed,2024-01-03 22:00:00,electronics
ord_004,pay_004,cust_004,18900.00,completed,2024-01-04 08:00:00,electronics
ord_005,pay_005,cust_005,42100.00,completed,2024-01-04 20:00:00,apparel
ord_006,pay_006,cust_006,38900.00,completed,2024-01-05 07:00:00,home
ord_007,pay_007,cust_007,9800.00,completed,2024-01-06 11:00:00,books
ord_008,pay_008,cust_008,27300.00,completed,2024-01-07 05:00:00,home
ord_009,pay_009,cust_009,95000.00,completed,2024-01-07 14:00:00,home
ord_010,pay_010,cust_010,22100.00,completed,2024-01-09 09:00:00,books
ord_011,pay_011,cust_011,48900.00,completed,2024-01-09 09:00:00,books
ord_012,pay_012,cust_012,16500.00,completed,2024-01-10 17:00:00,apparel
ord_013,pay_013,cust_013,53400.00,completed,2024-01-11 16:00:00,apparel
ord_014,pay_014,cust_014,14200.00,completed,2024-01-11 21:00:00,beauty
ord_015,pay_015,cust_015,62300.00,completed,2024-01-12 13:00:00,beauty
ord_016,pay_016,cust_016,25000.00,completed,2024-01-13 16:00:00,beauty
ord_017,pay_017,cust_017,12000.00,completed,2024-01-13 14:00:00,beauty
ord_018,pay_018,cust_018,8000.00,completed,2024-01-13 03:00:00,electronics
ord_019,pay_019,cust_019,3500.00,completed,2024-01-13 10:00:00,books
ord_020,pay_020,cust_020,1200.00,completed,2024-01-14 00:00:00,apparel
ord_021,pay_021,cust_021,40000.00,completed,2024-01-14 11:00:00,apparel
ord_022,pay_022,cust_022,20000.00,completed,2024-01-14 11:00:00,books
ord_023,pay_023,cust_023,8000.00,completed,2024-01-14 23:00:00,home
ord_024,pay_024,cust_024,50000.00,completed,2024-01-15 22:00:00,home
ord_025,pay_025,cust_025,35000.00,completed,2024-01-15 22:00:00,home
ord_026,pay_026,cust_026,30000.00,completed,2024-01-15 22:00:00,home
ord_027,pay_027,cust_027,15000.00,completed,2024-01-15 17:00:00,home
ord_028,pay_028,cust_028,7000.00,completed,2024-01-15 23:00:00,apparel
ord_029,pay_029,cust_029,30000.00,completed,2024-01-17 20:00:00,electronics
ord_030,pay_030,cust_030,25000.00,completed,2024-01-17 11:00:00,books
ord_031,pay_031,cust_031,21000.00,completed,2024-01-17 18:00:00,electronics
ord_032,pay_032,cust_032,11500.00,completed,2024-01-18 08:00:00,home
ord_033,pay_033,cust_033,4300.00,completed,2024-01-17 10:00:00,books
ord_034,pay_034,cust_034,50000.00,completed,2024-01-18 22:00:00,books
ord_035,pay_035,cust_035,25000.00,completed,2024-01-18 12:00:00,apparel
ord_036,pay_036,cust_036,15000.00,completed,2024-01-19 05:00:00,electronics
ord_037,pay_037,cust_037,18500.00,completed,2024-01-19 14:00:00,electronics
ord_038,pay_038,cust_038,22000.00,completed,2024-01-20 07:00:00,home
ord_039,pay_039,cust_039,33000.00,completed,2024-01-21 13:00:00,books
ord_040,pay_040,cust_040,17650.00,completed,2024-01-22 06:00:00,home
ord_041,pay_041,cust_041,64000.00,completed,2024-01-24 01:00:00,apparel
ord_042,pay_042,cust_042,47600.00,completed,2024-01-24 03:00:00,books
ord_043,pay_043,cust_043,12400.00,completed,2024-01-24 09:00:00,home
ord_044,pay_044,cust_044,0.00,completed,2024-01-24 22:00:00,apparel
ord_045,pay_045,cust_045,-2000.00,refunded,2024-01-25 15:00:00,books
ord_046,pay_046,cust_046,-300.00,refunded,2024-01-25 17:00:00,home
ord_047,pay_047,cust_047,19000.00,completed,2024-01-26 21:00:00,electronics
ord_048,pay_048,cust_048,6000.00,completed,2024-01-27 11:00:00,electronics
ord_049,pay_049,cust_049,19000.00,completed,2024-01-28 03:00:00,apparel
ord_050,pay_050,cust_050,6000.00,completed,2024-01-27 21:00:00,electronics
ord_051,pay_051,cust_051,19000.00,completed,2024-01-28 13:00:00,electronics
ord_052,pay_052,cust_052,6000.00,completed,2024-01-28 18:00:00,home
ord_053,pay_053,cust_053,28750.00,completed,2024-01-30 06:00:00,electronics
ord_054,pay_054,cust_054,5400.00,failed,2024-01-20 06:00:00,books
ord_055,pay_055,cust_055,12750.00,failed,2024-01-19 21:00:00,electronics
ord_056,pay_056,cust_056,8900.00,pending,2024-01-20 07:00:00,home
